geneID,time,Myc_gene,Gen_type,Gen_sign_Mock,Gen_sign_Myc,ASE_type,ASE_sign,F0_Oh43_logFC,F0_Oh43_adj.P.Val,F1_allele_logFC,F1_allele_adj.P.Val,myc_Oh43_logFC,myc_Oh43_adj.P.Val,mock_Oh43_logFC,mock_Oh43_adj.P.Val,Working.Symbol,v4.Gene.Model.ID,v3.Gene.Model.ID,Full.Name,Working.Source,chr,start_V5_bp,end_V5_bp,pos_v5_bp,chr_start_bp,pos_v5_cum_bp,armando_hotlist
Zm00001eb238800,T2,NA,2_Mock conditional,down,down,NA,NA,NA,NA,NA,NA,-0.14990102130383,0.468527338353571,-1.79402711523518,5.02070655992426e-4,A0A1D6H658,Zm00001d016185,A0A1D6H658,NA,NA,chr5,148319126,148320979,148320052,1040475889,1188795941,NA
Zm00001eb323330,T1,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-2.53498881985161,5.98484043535985e-4,-2.39958522388995,0.0117911957922916,A0A1D6IE31,Zm00001d021690,A0A1D6IE31,NA,NA,chr7,163885342,163887736,163886539,1448186572,1612073111,NA
Zm00001eb323330,T2,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-3.35847717220037,5.50965967607963e-4,-3.88822732586716,1.83145609905983e-4,A0A1D6IE31,Zm00001d021690,A0A1D6IE31,NA,NA,chr7,163885342,163887736,163886539,1448186572,1612073111,NA
Zm00001eb005250,T1,NA,8_Conserved,up,down,NA,NA,NA,NA,NA,NA,-2.11512124220429,0.164174696781278,0.618797391664331,0.586302662341475,A0A1D6JQ00,Zm00001d027832,GRMZM2G063287,NA,NA,chr1,14547169,14548604,14547886,0,14547886,NA
Zm00001eb005250,T2,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-2.17659634369286,0.00739019520375906,-0.94191741122881,0.277127833445264,A0A1D6JQ00,Zm00001d027832,GRMZM2G063287,NA,NA,chr1,14547169,14548604,14547886,0,14547886,NA
Zm00001eb011050,T1,NA,4_Antagonistic,down,up,NA,NA,NA,NA,NA,NA,0.345462652118921,0.00707826616720266,-0.239281446967138,0.022500519803659,A0A1D6JWI7,Zm00001d028474,A0A1D6JWI7,NA,NA,chr1,35509242,35516406,35512824,0,35512824,NA
Zm00001eb011050,T2,NA,2_Mock conditional,down,up,NA,NA,NA,NA,NA,NA,0.131007717662926,0.554152682073406,-1.50551236096696,8.5380754186466e-4,A0A1D6JWI7,Zm00001d028474,A0A1D6JWI7,NA,NA,chr1,35509242,35516406,35512824,0,35512824,NA
Zm00001eb044990,T1,NA,Ambiguous,up,down,NA,NA,NA,NA,NA,NA,-0.217691180171892,0.87736953103768,2.49893942124486,0.0191267350332613,A0A1D6KSC7,Zm00001d032624,A0A1D6KSC7,NA,NA,chr1,234272915,234273496,234273206,0,234273206,NA
Zm00001eb044990,T2,signi,Ambiguous,up,up,Trans,up,0.7971372711556,0.0243401748669726,0.814103126859481,0.0969429862257202,1.31437497964892,0.00678423964615515,1.11498796749026,0.304372175468363,A0A1D6KSC7,Zm00001d032624,A0A1D6KSC7,NA,NA,chr1,234272915,234273496,234273206,0,234273206,NA
Zm00001eb058080,T1,NA,Ambiguous,up,up,NA,NA,NA,NA,NA,NA,0.750783796831303,0.0923711482274972,1.19939226038586,0.00730058935638079,A0A1D6L5H8,Zm00001d034099,A0A1D6L5H8,NA,NA,chr1,285674019,285677581,285675800,0,285675800,NA
Zm00001eb058080,T2,NA,2_Mock conditional,up,up,NA,NA,NA,NA,NA,NA,0.0271969394481741,0.944666165908973,1.22493776493891,0.00128605654226133,A0A1D6L5H8,Zm00001d034099,A0A1D6L5H8,NA,NA,chr1,285674019,285677581,285675800,0,285675800,NA
Zm00001eb276140,T1,NA,1_Myc conditional,down,up,NA,NA,NA,NA,NA,NA,0.380044289466064,0.0357638874594511,-0.0509026152432414,0.681862405403909,A0A1D6LRY4,Zm00001d036827,A0A1D6LRY4,NA,NA,chr6,109973332,109979627,109976480,1266829338,1376805818,NA
Zm00001eb276140,T2,NA,8_Conserved,up,down,NA,NA,NA,NA,NA,NA,-0.0500734510609631,0.777352662402488,0.151425957362011,0.337090098848079,A0A1D6LRY4,Zm00001d036827,A0A1D6LRY4,NA,NA,chr6,109973332,109979627,109976480,1266829338,1376805818,NA
Zm00001eb157170,T1,NA,3_Modulated,up,up,NA,NA,NA,NA,NA,NA,0.904411358780456,1.22534102321589e-4,1.81766040842861,1.22076714416121e-5,A0A1D6NG77,Zm00001d043912,A0A1D6NG77,NA,NA,chr3,215653062,215654588,215653825,552127662,767781487,NA
Zm00001eb157170,T2,NA,Ambiguous,up,up,NA,NA,NA,NA,NA,NA,2.10755652426165,0.0415975446088106,1.21250048999751,8.76706154170612e-4,A0A1D6NG77,Zm00001d043912,A0A1D6NG77,NA,NA,chr3,215653062,215654588,215653825,552127662,767781487,NA
Zm00001eb398940,T1,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-0.962715005364656,1.20734051215868e-5,-0.555512093251546,0.0348585702080247,A0A1D6PF37,Zm00001d047951,A0A1D6PF37,NA,NA,chr9,149483676,149485433,149484554,1816406690,1965891244,NA
Zm00001eb398940,T2,NA,8_Conserved,down,down,NA,NA,NA,NA,NA,NA,-0.462839302438297,0.123281371527809,-0.556655030395638,0.258059334651991,A0A1D6PF37,Zm00001d047951,A0A1D6PF37,NA,NA,chr9,149483676,149485433,149484554,1816406690,1965891244,NA
Zm00001eb175860,T1,NA,2_Mock conditional,down,up,NA,NA,NA,NA,NA,NA,0.0568147370297717,0.706489648336694,-0.732441373804046,4.54408212152742e-4,A0A1D6PYQ0,Zm00001d049916,A0A1D6PYQ0,NA,NA,chr4,52772074,52774817,52773446,790145429,842918875,NA
Zm00001eb175860,T2,NA,2_Mock conditional,down,up,NA,NA,NA,NA,NA,NA,1.92403612827807e-4,0.999163662880432,-0.837991638598225,0.0102514220985067,A0A1D6PYQ0,Zm00001d049916,A0A1D6PYQ0,NA,NA,chr4,52772074,52774817,52773446,790145429,842918875,NA
Zm00001eb159020,T1,NA,8_Conserved,down,down,NA,NA,NA,NA,NA,NA,-2.98682214547591,0.226385438836994,-1.90102944457073,0.061042812968989,a1,Zm00001d044122,AY105150,anthocyaninless1,NA,chr3,221779777,221781603,221780690,552127662,773908352,NA
Zm00001eb159020,T2,NA,2_Mock conditional,down,down,NA,NA,NA,NA,NA,NA,-0.86207600882798,0.257028381630961,-7.22045615992794,4.31500162691994e-5,a1,Zm00001d044122,AY105150,anthocyaninless1,NA,chr3,221779777,221781603,221780690,552127662,773908352,NA
Zm00001eb229190,T1,NA,8_Conserved,down,down,NA,NA,NA,NA,NA,NA,-1.40212651989068,0.450056424132111,-2.44379143241538,0.0673757112047053,a2,Zm00001d014914,GRMZM2G345717,anthocyaninless2,NA,chr5,68086545,68088407,68087476,1040475889,1108563365,NA
Zm00001eb229190,T2,NA,2_Mock conditional,down,down,NA,NA,NA,NA,NA,NA,-0.290718924705691,0.742030415467303,-6.19734742882103,2.01601476690239e-4,a2,Zm00001d014914,GRMZM2G345717,anthocyaninless2,NA,chr5,68086545,68088407,68087476,1040475889,1108563365,NA
Zm00001eb359030,T1,NA,3_Modulated,up,up,NA,NA,NA,NA,NA,NA,0.563786441769744,0.00135542007454903,1.2679058674605,4.07515064726117e-6,a4,Zm00001d011438,GRMZM2G013726,anthocyaninless4,NA,chr8,149935020,149936675,149935848,1633995488,1783931336,NA
Zm00001eb359030,T2,signi,4_Antagonistic,down,up,Conserved,down,0.504378958831034,0.465605764883449,-0.904399183925819,0.363222677184172,0.63566767044791,0.00291439175631123,-1.19093395987417,2.69806093548932e-5,a4,Zm00001d011438,GRMZM2G013726,anthocyaninless4,NA,chr8,149935020,149936675,149935848,1633995488,1783931336,NA
Zm00001eb070860,T1,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-0.321379571851853,0.0364858747666011,-0.125392831313301,0.249029404825846,aaa1,Zm00001d002326,AY105736,adenosylmethionine aminotransferase1,NA,chr2,10606155,10611276,10608716,308452471,319061187,NA
Zm00001eb070860,T2,signi,7_Myc responsive,down,down,Conserved,down,-0.506748498843959,0.0718018640301081,-0.455018896154895,0.0715847747026803,-0.22282534457109,0.145673317662503,-0.0265392892206377,0.856972086564023,aaa1,Zm00001d002326,AY105736,adenosylmethionine aminotransferase1,NA,chr2,10606155,10611276,10608716,308452471,319061187,NA
Zm00001eb080600,T1,NA,3_Modulated,up,up,NA,NA,NA,NA,NA,NA,2.48362075902604,2.76908287506113e-7,1.72705354555044,1.55592345077295e-8,aaap10,Zm00001d003403,GRMZM2G114523,amino acid/auxin permease10,NA,chr2,43269664,43271929,43270796,308452471,351723267,NA
Zm00001eb080600,T2,NA,1_Myc conditional,down,up,NA,NA,NA,NA,NA,NA,3.59688279226399,1.77818278549857e-6,-0.0710011165591333,0.882292927575913,aaap10,Zm00001d003403,GRMZM2G114523,amino acid/auxin permease10,NA,chr2,43269664,43271929,43270796,308452471,351723267,NA
Zm00001eb080770,T1,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-1.27536513395782,0.0269345639923674,-2.17130431839064,0.00494605181268529,aaap11,Zm00001d003422,GRMZM2G137161,amino acid/auxin permease11,NA,chr2,43809331,43812510,43810920,308452471,352263391,NA
Zm00001eb080770,T2,NA,1_Myc conditional,down,down,NA,NA,NA,NA,NA,NA,-3.97298080152136,3.15422397382861e-5,-1.23547031543377,0.236918916948464,aaap11,Zm00001d003422,GRMZM2G137161,amino acid/auxin permease11,NA,chr2,43809331,43812510,43810920,308452471,352263391,NA
Zm00001eb087950,T1,NA,1_Myc conditional,down,up,NA,NA,NA,NA,NA,NA,0.60236464903843,7.32946238657118e-5,-0.0170078414791673,0.889639738075747,aaap12,Zm00001d004340,GRMZM2G097802,amino acid/auxin permease12,NA,chr2,104930938,104936654,104933796,308452471,413386267,NA
Zm00001eb087950,T2,non-signi,8_Conserved,down,up,Conserved,up,-0.00210148855312683,0.99344472125043,0.171845662580264,0.533953793534835,0.0221560153908898,0.911209547794964,-0.155636248084216,0.730750966235198,aaap12,Zm00001d004340,GRMZM2G097802,amino acid/auxin permease12,NA,chr2,104930938,104936654,104933796,308452471,413386267,NA
Zm00001eb090970,T1,NA,1_Myc conditional,up,down,NA,NA,NA,NA,NA,NA,-0.994428749519918,0.0192164224240923,0.357285948219138,0.392806462106613,aaap14,Zm00001d004705,GRMZM2G082434,amino acid/auxin permease14,NA,chr2,132256747,132258853,132257800,308452471,440710271,NA
Zm00001eb090970,T2,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-0.944298394529111,0.102591221174431,-1.75258113318616,0.00998205307920882,aaap14,Zm00001d004705,GRMZM2G082434,amino acid/auxin permease14,NA,chr2,132256747,132258853,132257800,308452471,440710271,NA
Zm00001eb132750,T1,NA,8_Conserved,down,up,NA,NA,NA,NA,NA,NA,0.273439743887808,0.375183153892581,-0.552857210087272,0.101148806691494,aaap15,Zm00001d041004,GRMZM2G125832,amino acid/auxin permease15,NA,chr3,91031177,91034784,91032980,552127662,643160642,NA
Zm00001eb132750,T2,NA,8_Conserved,down,down,NA,NA,NA,NA,NA,NA,-0.282481971778329,0.661193903506035,-1.05565558023996,0.0718762806348698,aaap15,Zm00001d041004,GRMZM2G125832,amino acid/auxin permease15,NA,chr3,91031177,91034784,91032980,552127662,643160642,NA
Zm00001eb136330,T1,NA,Ambiguous,up,up,NA,NA,NA,NA,NA,NA,2.62537023671519,0.0422475622189206,0.269354920709506,0.803219234911198,aaap16,Zm00001d041534,GRMZM2G092223,amino acid/auxin permease16,NA,chr3,127147755,127151521,127149638,552127662,679277300,NA
Zm00001eb136330,T2,NA,8_Conserved,up,up,NA,NA,NA,NA,NA,NA,1.40523956011433,0.253102286602077,0.760340020947304,0.570684554279615,aaap16,Zm00001d041534,GRMZM2G092223,amino acid/auxin permease16,NA,chr3,127147755,127151521,127149638,552127662,679277300,NA
Zm00001eb138820,T1,NA,2_Mock conditional,up,up,NA,NA,NA,NA,NA,NA,0.186328289598793,0.741814026980466,2.13819286349719,0.00640944582972859,aaap18,Zm00001d041842,GRMZM2G031167,amino acid/auxin permease18,NA,chr3,141162060,141164124,141163092,552127662,693290754,NA
Zm00001eb138820,T2,signi,2_Mock conditional,up,down,Conserved,down,-0.333781318495907,0.340282567697375,-0.15308197746219,0.84209706665204,-0.687238649296449,0.0695321782251826,2.30187784706597,8.51869541711328e-5,aaap18,Zm00001d041842,GRMZM2G031167,amino acid/auxin permease18,NA,chr3,141162060,141164124,141163092,552127662,693290754,NA
Zm00001eb144010,T1,NA,6_Fixed,up,up,NA,NA,NA,NA,NA,NA,1.93162780245248,1.58163704944383e-7,1.84243948199234,9.48693596857071e-8,aaap20,Zm00001d042438,GRMZM2G078024,amino acid/auxin permease20,NA,chr3,169278633,169284255,169281444,552127662,721409106,NA
Zm00001eb144010,T2,NA,6_Fixed,up,up,NA,NA,NA,NA,NA,NA,2.39206063909694,3.65749426085576e-4,2.48859827677762,3.55183149743679e-8,aaap20,Zm00001d042438,GRMZM2G078024,amino acid/auxin permease20,NA,chr3,169278633,169284255,169281444,552127662,721409106,NA
Zm00001eb145670,T1,NA,1_Myc conditional,down,up,NA,NA,NA,NA,NA,NA,0.648305229519727,3.10512206125004e-4,-0.078011544650575207,0.557784987919928,aaap21,Zm00001d042619,GRMZM2G110195,amino acid/auxin permease21,NA,chr3,176082042,176085456,176083749,552127662,728211411,NA
Zm00001eb145670,T2,NA,2_Mock conditional,down,down,NA,NA,NA,NA,NA,NA,-0.371248034799505,0.167476907183837,-1.62365870544742,2.36893443001288e-5,aaap21,Zm00001d042619,GRMZM2G110195,amino acid/auxin permease21,NA,chr3,176082042,176085456,176083749,552127662,728211411,NA
Zm00001eb145880,T1,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-0.744038410325065,0.0297573266083764,-0.53333686982225,0.306424292907398,aaap22,Zm00001d042636,GRMZM5G830545,amino acid/auxin permease22,NA,chr3,177036244,177038731,177037488,552127662,729165150,NA
Zm00001eb145880,T2,NA,2_Mock conditional,down,down,NA,NA,NA,NA,NA,NA,-0.424668935281312,0.682179436235159,-4.02574455620305,3.91591103399689e-4,aaap22,Zm00001d042636,GRMZM5G830545,amino acid/auxin permease22,NA,chr3,177036244,177038731,177037488,552127662,729165150,NA
Zm00001eb147400,T1,NA,8_Conserved,down,up,NA,NA,NA,NA,NA,NA,0.167470592881239,0.545173512686772,-0.184224630150086,0.33338294218411,aaap23,Zm00001d042801,GRMZM2G154958,amino acid/auxin permease23,NA,chr3,182485165,182490393,182487779,552127662,734615441,NA
Zm00001eb147400,T2,NA,7_Myc responsive,down,down,NA,NA,NA,NA,NA,NA,-0.326193980316433,0.42269694336318,-0.448744956587365,0.0912127901632,aaap23,Zm00001d042801,GRMZM2G154958,amino acid/auxin permease23,NA,chr3,182485165,182490393,182487779,552127662,734615441,NA
Zm00001eb159580,T1,NA,6_Fixed,down,down,NA,NA,NA,NA,NA,NA,-1.47569603476776,1.15126285518439e-4,-0.722015018047944,0.0103909916121398,aaap25,Zm00001d044192,GRMZM2G057733,amino acid/auxin permease25,NA,chr3,223464634,223468287,223466460,552127662,775594122,NA
Zm00001eb159580,T2,signi,3_Modulated,down,down,Trans,down,-1.11066827964004,2.33790642386629e-4,-0.50248911745788,0.112610478450209,-0.790456688666721,1.0548220323033e-4,-2.1435988345641,1.8207259583101e-4,aaap25,Zm00001d044192,GRMZM2G057733,amino acid/auxin permease25,NA,chr3,223464634,223468287,223466460,552127662,775594122,NA
Zm00001eb161250,T1,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-2.77856337296661,0.00151816406955156,-1.97498782913805,5.60839513601752e-4,aaap27,Zm00001d044387,GRMZM2G066428,amino acid/auxin permease27,NA,chr3,228582810,228584465,228583638,552127662,780711300,NA
Zm00001eb161250,T2,non-signi,Ambiguous,down,down,Cis only,down,-1.93248301414898,0.00767433600129671,-2.23980318609731,0.00767264251259315,-1.95360696884102,8.67723547990718e-4,-0.586428999748659,0.534382013518814,aaap27,Zm00001d044387,GRMZM2G066428,amino acid/auxin permease27,NA,chr3,228582810,228584465,228583638,552127662,780711300,NA
Zm00001eb173390,T1,NA,7_Myc responsive,down,down,NA,NA,NA,NA,NA,NA,-0.115911979730756,0.352000300271617,-0.0892538821232398,0.560463099468699,aaap28,Zm00001d049640,GRMZM2G046743,amino acid/auxin permease28,NA,chr4,38908804,38912585,38910694,790145429,829056123,NA
Zm00001eb173390,T2,signi,4_Antagonistic,down,up,Cis only,up,0.945689489296859,4.23151920099323e-4,0.909530054051249,0.00815713147716816,0.80922070721932,1.98407468485737e-5,-0.332186719828437,0.0377643754453236,aaap28,Zm00001d049640,GRMZM2G046743,amino acid/auxin permease28,NA,chr4,38908804,38912585,38910694,790145429,829056123,NA
Zm00001eb178270,T1,NA,5_Constitutive,up,up,NA,NA,NA,NA,NA,NA,1.25724270408993,1.13806087373999e-4,1.31386429832501,7.23160084708395e-7,aaap29,Zm00001d050211,GRMZM2G180547,amino acid/auxin permease29,NA,chr4,73991014,73993249,73992132,790145429,864137561,NA
Zm00001eb178270,T2,NA,8_Conserved,down,up,NA,NA,NA,NA,NA,NA,0.184642778750973,0.437519554441265,-0.354786663831255,0.287956293192341,aaap29,Zm00001d050211,GRMZM2G180547,amino acid/auxin permease29,NA,chr4,73991014,73993249,73992132,790145429,864137561,NA
Zm00001eb189540,T1,NA,5_Constitutive,up,up,NA,NA,NA,NA,NA,NA,4.08076787238491,1.69136570014911e-5,4.62389897291199,4.41036707376559e-5,aaap30,Zm00001d051703,GRMZM2G427319,amino acid/auxin permease30,NA,chr4,169359575,169362125,169360850,790145429,959506279,NA
Zm00001eb189540,T2,NA,5_Constitutive,up,up,NA,NA,NA,NA,NA,NA,3.45458817873753,4.95650945976198e-5,4.81970092749457,1.34520319009241e-4,aaap30,Zm00001d051703,GRMZM2G427319,amino acid/auxin permease30,NA,chr4,169359575,169362125,169360850,790145429,959506279,NA
Zm00001eb192710,T1,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-1.56725469238121,6.82213224225212e-5,-1.67945678075479,4.35279914804612e-5,aaap31,Zm00001d052063,GRMZM2G101125,amino acid/auxin permease31,NA,chr4,180288928,180294917,180291922,790145429,970437351,NA
Zm00001eb192710,T2,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-1.35356615065144,1.95609994397949e-5,-1.83172126675953,3.08019036168465e-5,aaap31,Zm00001d052063,GRMZM2G101125,amino acid/auxin permease31,NA,chr4,180288928,180294917,180291922,790145429,970437351,NA
Zm00001eb202080,T1,NA,8_Conserved,down,down,NA,NA,NA,NA,NA,NA,-0.961473227182642,0.070405935107114,-0.913300929019667,0.205765724128656,aaap33,Zm00001d053143,GRMZM2G332505,amino acid/auxin permease33,NA,chr4,218922411,218924400,218923406,790145429,1009068835,NA
Zm00001eb202080,T2,NA,7_Myc responsive,down,up,NA,NA,NA,NA,NA,NA,0.146204605773399,0.882956428513636,-0.243445107278081,0.760376982466085,aaap33,Zm00001d053143,GRMZM2G332505,amino acid/auxin permease33,NA,chr4,218922411,218924400,218923406,790145429,1009068835,NA
Zm00001eb234980,T1,NA,Ambiguous,up,up,NA,NA,NA,NA,NA,NA,0.266321243889499,0.165778414109078,0.44175037907061,0.0628345873180054,aaap34,Zm00001d015658,GRMZM2G332562,amino acid/auxin permease34,NA,chr5,103527416,103531290,103529353,1040475889,1144005242,NA
Zm00001eb234980,T2,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-0.0176541711711163,0.960029590192697,-0.861348388796359,0.0134545035082777,aaap34,Zm00001d015658,GRMZM2G332562,amino acid/auxin permease34,NA,chr5,103527416,103531290,103529353,1040475889,1144005242,NA
Zm00001eb250210,T1,NA,1_Myc conditional,down,down,NA,NA,NA,NA,NA,NA,-0.979183431181046,2.66269530995663e-7,-0.151467685149289,0.34118818683098,aaap35,Zm00001d017557,GRMZM2G074053,amino acid/auxin permease35,NA,chr5,198479947,198482007,198480977,1040475889,1238956866,NA
Zm00001eb250210,T2,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-0.758255859150101,1.52613287551762e-5,-1.01518265785006,5.86171310864619e-5,aaap35,Zm00001d017557,GRMZM2G074053,amino acid/auxin permease35,NA,chr5,198479947,198482007,198480977,1040475889,1238956866,NA
Zm00001eb253110,T1,NA,7_Myc responsive,down,up,NA,NA,NA,NA,NA,NA,0.0805208528032331,0.625451694940306,-0.108898004246286,0.414906017856276,aaap36,Zm00001d017880,GRMZM2G161641,amino acid/auxin permease36,NA,chr5,212100055,212103208,212101632,1040475889,1252577521,NA
Zm00001eb253110,T2,NA,Ambiguous,up,down,NA,NA,NA,NA,NA,NA,-0.072401054992435,0.511621597509933,0.362645801985999,0.0557543471838736,aaap36,Zm00001d017880,GRMZM2G161641,amino acid/auxin permease36,NA,chr5,212100055,212103208,212101632,1040475889,1252577521,NA
Zm00001eb257440,T1,NA,6_Fixed,down,down,NA,NA,NA,NA,NA,NA,-1.29825141799192,9.33653574333964e-6,-1.07001830930636,1.99482492242753e-4,aaap37,Zm00001d018336,GRMZM2G083788,amino acid/auxin permease37,NA,chr5,221248272,221254015,221251144,1040475889,1261727033,NA
Zm00001eb257440,T2,NA,5_Constitutive,down,down,NA,NA,NA,NA,NA,NA,-1.07415295038944,0.00455999765999746,-1.19104191934088,0.0200187162863511,aaap37,Zm00001d018336,GRMZM2G083788,amino acid/auxin permease37,NA,chr5,221248272,221254015,221251144,1040475889,1261727033,NA
Zm00001eb257490,T1,NA,8_Conserved,down,down,NA,NA,NA,NA,NA,NA,-0.330911195543545,0.31893062293046,-0.189200420831367,0.412824185445399,aaap38,Zm00001d018340,GRMZM2G080843,amino acid/auxin permease38,NA,chr5,221397893,221401846,221399870,1040475889,1261875759,NA
Zm00001eb257490,T2,NA,7_Myc responsive,down,down,NA,NA,NA,NA,NA,NA,-0.0752760961772226,0.850618342174233,-0.624563862709185,0.087842074484082,aaap38,Zm00001d018340,GRMZM2G080843,amino acid/auxin permease38,NA,chr5,221397893,221401846,221399870,1040475889,1261875759,NA
Zm00001eb039240,T1,NA,8_Conserved,up,up,NA,NA,NA,NA,NA,NA,0.88428551482248,0.433607154928948,0.142358075574956,0.839783326650543,aaap4,Zm00001d031922,GRMZM2G052461,amino acid/auxin permease4,NA,chr1,208732022,208734458,208733240,0,208733240,NA
Zm00001eb039240,T2,NA,1_Myc conditional,up,up,NA,NA,NA,NA,NA,NA,4.34957755471546,2.9320107851861e-4,0.301636931815166,0.702953015328673,aaap4,Zm00001d031922,GRMZM2G052461,amino acid/auxin permease4,NA,chr1,208732022,208734458,208733240,0,208733240,NA
Zm00001eb261470,T1,NA,Ambiguous,up,up,NA,NA,NA,NA,NA,NA,1.74895652204178,0.00217717797200424,1.04743200375582,0.109395731322338,aaap40,Zm00001d035161,GRMZM2G127342,amino acid/auxin permease40,NA,chr6,12594118,12599541,12596830,1266829338,1279426168,NA
Zm00001eb261470,T2,NA,5_Constitutive,up,up,NA,NA,NA,NA,NA,NA,2.28789603025218,3.74619741797682e-4,1.79087287777928,0.00425064521471909,aaap40,Zm00001d035161,GRMZM2G127342,amino acid/auxin permease40,NA,chr6,12594118,12599541,12596830,1266829338,1279426168,NA
Zm00001eb261490,T1,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-1.08681810129714,0.00396915428092935,-0.504301440980049,0.336057858331102,aaap41,Zm00001d035163,GRMZM2G127294,amino acid/auxin permease41,NA,chr6,12609928,12617888,12613908,1266829338,1279443246,NA
Zm00001eb261490,T2,signi,6_Fixed,down,down,Compensatory,down,-1.24631558203115,0.0883138972586347,-2.27496915407081,0.00177602876152476,-0.854387247477309,0.0155413859301318,-0.977541893435654,8.75038747390047e-4,aaap41,Zm00001d035163,GRMZM2G127294,amino acid/auxin permease41,NA,chr6,12609928,12617888,12613908,1266829338,1279443246,NA
